company,ticker,rank,total_score,valuation_score,reverse_dcf_score,normalization_confidence,confidence_reasons,size_bucket,discount_rate,reinvestment_roic,net_reinvestment_rate,ebit_margin_3y,ebit_margin_5y,reported_fcf_margin_3y,reported_fcf_margin_5y,operating_cash_flow_margin_3y,operating_cash_flow_margin_5y,negative_fcf_years,fcf_margin_stddev,material_window_disagreement,material_aggregate_investing,revenue_growth_status,revenue_growth_implied,ebit_margin_status,ebit_margin_implied,terminal_growth_status,terminal_growth_implied
Engcon,ENGCON B,50,51.1,28.0,0.1,medium,,lower_mid,0.128,0.3522726821899414,0.0,0.18248712288447388,0.19544120965921913,0.12472406181015452,0.11475964793500339,0.15084621044885946,0.13665086887835703,0,0.06277019717842154,False,False,outside_bounds,,outside_bounds,,outside_bounds,
Catella B,CAT B,51,50.9,66.9,29.8,low,reported FCF is non-positive in 2 observed year(s) | annual reported FCF margins are highly volatile | three- and five-year normalized margins materially disagree | aggregate investing cash flow is material and may include acquisitions or disposals,small,0.133,0.10095339775085449,0.0,0.08314707197139025,0.136003600360036,0.11682312621069885,-0.057335733573357334,0.14841305319624498,0.09945994599459947,2,0.451703263179067,True,True,solved,-0.001202988624572761,solved,0.1651449054479599,outside_bounds,
SmartCraft,SMCRT,53,50.7,36.3,1.3,low,reported FCF is non-positive in 2 observed year(s) | annual reported FCF margins are highly volatile | aggregate investing cash flow is material and may include acquisitions or disposals,small,0.133,0.10941200256347657,0.15,0.25430667499148596,0.25695513552706073,0.09450561925303666,0.09175514744589347,0.32556902032012713,0.33720364318987694,2,0.10107486072403198,False,True,outside_bounds,,solved,0.47540992498397827,outside_bounds,
NYAB,NYAB,54,50.4,21.1,10.8,medium,,small,0.133,0.12049679756164551,0.04402159909929017,0.06056886429170518,0.055723543163658434,0.04848616102312312,0.04797806883061637,0.08069216311687676,0.0669642370204829,0,0.02147144372262267,False,False,outside_bounds,,solved,0.0888279527425766,outside_bounds,
Sustainion,SUSG,55,50.2,24.5,6.8,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile,micro,0.138,0.09656343460083008,0.047811782102400245,0.05690888019068028,0.060521243167595246,0.015645841989022764,-0.004128048726818233,0.05057838227897925,0.04444913874292554,1,0.12386445830814952,False,False,outside_bounds,,solved,0.11126142740249634,outside_bounds,
Scandinavian Astor,ASTOR,56,49.8,24.3,0.6,low,reported FCF is non-positive in 5 observed year(s) | annual reported FCF margins are highly volatile | aggregate investing cash flow is material and may include acquisitions or disposals,small,0.133,0.0775824785232544,0.019992273678204643,0.06147128420337033,0.02530667554203119,-0.5593076309631198,-0.5649367630277672,0.039429475363114606,0.031428299733739055,5,0.29503162558868223,False,True,outside_bounds,,solved,0.2564828395843506,outside_bounds,
Xvivo Perfusion,XVIVO,57,49.8,27.8,0.0,low,reported FCF is non-positive in 5 observed year(s) | annual reported FCF margins are highly volatile | three- and five-year normalized margins materially disagree | aggregate investing cash flow is material and may include acquisitions or disposals,lower_mid,0.128,0.04356492042541504,0.04589966308877731,0.08105262686313072,0.05810083935288267,-0.1815261655907138,-0.2666106868652803,0.11587586744499646,0.09444870793341616,5,0.2311373807414598,True,True,outside_bounds,,outside_bounds,,outside_bounds,
AQ Group,AQ,58,49.7,17.3,1.1,low,reported FCF is non-positive in 2 observed year(s) | annual reported FCF margins are highly volatile,lower_mid,0.128,0.15091099739074706,0.03743635048753813,0.09145055676815508,0.08548787521629009,0.08412563353187082,0.05130777139704592,0.11460915245458918,0.08887328535245881,2,0.052562454328890076,False,False,outside_bounds,,solved,0.24210947379469872,outside_bounds,
Qualisys,QSYS,60,49.5,29.3,15.2,medium,,micro,0.138,0.23965629577636718,0.030331663928354756,0.19050255429448626,,0.13328887434884365,,0.16917482447089613,,0,0.052329582012803445,False,False,solved,0.1347110509872437,solved,0.2603529170155525,outside_bounds,
Rusta,RUSTA,62,48.9,56.0,0.8,medium,,lower_mid,0.128,0.08285541534423828,0.0489129566565049,0.07200135055288259,0.07044676028185946,0.08809543907036943,0.09410101171034813,0.11766691989533215,0.10525734521990397,0,0.023703551757344236,False,False,outside_bounds,,solved,0.21252090483903885,outside_bounds,
Attendo,ATT,63,48.8,66.4,0.3,medium,,lower_mid,0.128,0.045639472007751467,0.056162177173007505,0.08157110609480812,0.07109136351013608,0.10441534988713318,0.092848604856139,0.13612641083521446,0.12374581939799331,0,0.028713659884092836,False,False,outside_bounds,,solved,0.2641329914331436,outside_bounds,
AcadeMedia,ACAD,65,48.5,66.4,1.4,medium,,lower_mid,0.128,0.050541110038757324,0.06855449849819659,0.08694981885454406,0.08677784620024884,0.15632467432359515,0.16139045632202687,0.19544438449086565,0.19913033642910105,0,0.010684645073231969,False,False,outside_bounds,,solved,0.19183226488530636,outside_bounds,
OEM International,OEM B,66,48.5,12.6,0.1,medium,,upper_mid,0.123,0.21653160095214843,0.02179122566881456,0.1466301788328136,0.1493147291941876,0.11824603831222555,0.09218130779392338,0.14293896773372367,0.1167437252311757,0,0.03834075944008307,False,False,outside_bounds,,outside_bounds,,outside_bounds,
Bahnhof,BAHN B,68,47.9,15.0,1.8,medium,,lower_mid,0.128,1.4219990539550782,0.005986344338330875,0.1259665996785223,0.12479724732493437,0.11522996446739518,0.11928576038733828,0.15480802091730697,0.15408780076964015,0,0.0515097594151848,False,False,outside_bounds,,solved,0.2739149108529091,outside_bounds,
Mildef Group,MILDEF,69,47.9,15.0,0.1,low,reported FCF is non-positive in 4 observed year(s) | annual reported FCF margins are highly volatile | three- and five-year normalized margins materially disagree | aggregate investing cash flow is material and may include acquisitions or disposals,lower_mid,0.128,0.1254640007019043,0.019701380712833137,0.025810706326465642,0.024938456598522958,-0.14501751034702326,-0.24233829248278568,0.0445490517123755,0.011345392272289416,4,0.2853515640771689,True,True,outside_bounds,,solved,0.38733677938580513,outside_bounds,
Mips,MIPS,71,47.7,27.8,0.1,low,reported FCF is non-positive in 2 observed year(s) | annual reported FCF margins are highly volatile | three- and five-year normalized margins materially disagree | aggregate investing cash flow is material and may include acquisitions or disposals,lower_mid,0.128,0.16633270263671876,0.0,0.29133284777858703,0.3753930817610063,-0.16533139111434814,0.0994496855345912,0.21922796795338675,0.3199685534591195,2,0.3774714672161032,True,True,outside_bounds,,outside_bounds,,outside_bounds,
Prevas,PREV B,72,47.6,68.5,6.7,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile,micro,0.138,0.07142560958862304,0.07453974876692922,0.08320578023114963,0.09477800558766165,0.04386904217022644,0.03879318715892097,0.09471855647497865,0.086962492751854,1,0.04818428895884482,False,False,solved,0.2522184610366821,solved,0.15364304929971695,outside_bounds,
Infrea,INFREA,73,47.2,65.4,0.7,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile,micro,0.138,0.021693201065063478,0.0,0.00864854437603485,0.017349698356563345,0.05198771842397157,0.027595173705013524,0.031186200909865444,0.0377678385687539,1,0.058407706281019676,False,False,outside_bounds,,solved,0.08546525239944458,outside_bounds,
ShaMaran Petroleum,SNM SDB,74,47.2,66.3,1.7,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile | three- and five-year normalized margins materially disagree | aggregate investing cash flow is material and may include acquisitions or disposals,small,0.133,0.11818599700927734,0.0,0.25707115671072006,0.3540609116715046,0.5184957891431057,0.3642967396339401,0.6123821954079618,0.6093266889677138,1,0.3455335310651034,True,True,solved,0.12665710449218748,outside_bounds,,outside_bounds,
Railcare,RAIL,77,46.8,54.0,0.5,medium,,micro,0.138,0.06340738773345947,0.08441560766064078,0.10402923229158077,0.10685519957043137,0.11636224952585139,0.10373325439550606,0.21693844314339902,0.2025891148407705,0,0.05000315536807832,False,False,outside_bounds,,solved,0.31442783772945404,outside_bounds,
Byggmax,BMAX,79,45.1,64.9,0.7,medium,,small,0.133,0.06019115924835205,0.0,0.03305334351478128,0.05729213584361769,0.11677757172466456,0.08158424165991052,0.13363150430893422,0.11410383448938534,0,0.03976272829611888,False,False,solved,0.273165512084961,solved,0.18612950667738914,outside_bounds,
HMS Networks,HMS,80,44.3,22.0,0.2,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile | three- and five-year normalized margins materially disagree | aggregate investing cash flow is material and may include acquisitions or disposals,upper_mid,0.123,0.0940796184539795,0.15,0.20888106821240038,0.2204540632293656,-0.28268295207535454,-0.1597001202348115,0.20577579960666598,0.20701605488365513,1,0.5650103098777677,True,True,outside_bounds,,outside_bounds,,outside_bounds,
